catégorie,nom,description,durée_min,difficulté,participants_min,micro_protocole
structurée,SWOT Créatif,Forces Faiblesses Opportunités Menaces appliqués à chaque idée.,25,facile,1,"Pour chaque idée : quelles forces ? quelles faiblesses ? quelles opportunités ? quelles menaces ?"
structurée,Matrice Eisenhower Inversée,Prioriser les idées par urgence et importance pour trouver les quick wins.,20,facile,1,"On classe chaque idée sur 2 axes : impact (haut/bas) × effort (haut/bas). On cherche les quick wins."
structurée,Diagramme d'Ishikawa,Identifier les causes racines par catégories (méthode matériel main-d'œuvre milieu).,30,moyen,1,"On organise les causes en arêtes de poisson : Méthode, Matériel, Main-d'œuvre, Milieu, Machine, Mesure."
théâtrale,Jeu de Rôle Client,Se mettre dans la peau d'un utilisateur type et vivre son parcours.,30,moyen,1,"Tu incarnes ta persona principale. Décris ta journée, ton problème, ta recherche de solution. Vis-le !"
théâtrale,Technique du Chapeau,Chaque participant adopte un rôle différent pour diversifier les perspectives.,25,moyen,2,"Tu choisis un rôle (l'ingénieur, l'artiste, l'enfant, le PDG) et tu proposes des idées depuis ce point de vue."
théâtrale,Interview Imaginaire,Interviewer un expert fictif (vivant ou mort) sur le sujet.,20,moyen,1,"On interview un expert imaginaire. Que dirait Steve Jobs ? Marie Curie ? Un enfant de 8 ans ?"
théâtrale,Tribunal des Idées,Mettre une idée en procès avec avocat défenseur et procureur.,30,moyen,2,"L'idée est jugée ! Mary la défend, Rex l'attaque. Toi tu es le jury. Verdict ?"
sauvage,Pensée Inversée,Chercher comment aggraver le problème puis inverser les solutions.,20,facile,1,"Comment rendre ce problème PIRE ? On liste tout, puis on inverse chaque point. Les meilleures idées sortent !"
sauvage,Worst Possible Idea,Générer volontairement les pires idées puis les retourner.,15,facile,1,"On cherche la PIRE idée possible. Vraiment la pire. Puis on la retourne pour trouver du génie."
sauvage,Exagération Extrême,Pousser chaque paramètre à l'extrême pour révéler de nouvelles possibilités.,15,facile,1,"Et si c'était gratuit ? Et si ça coûtait 1 million ? Et si ça prenait 1 seconde ? Et si ça prenait 10 ans ?"
sauvage,Destruction Créative,Imaginer la destruction complète de la solution actuelle et reconstruire de zéro.,25,moyen,1,"On détruit tout. Table rase. Si on recommençait de zéro aujourd'hui, comment on ferait ?"
introspective,Journaling Créatif,Écriture libre et non censurée autour du sujet pendant 10 minutes.,10,facile,1,"Écris tout ce qui te vient sur le sujet, sans filtre. Pas de structure, pas de jugement. Flux libre."
introspective,Méditation Guidée,Visualisation du problème résolu pour identifier les étapes manquantes.,15,facile,1,"Ferme les yeux. Ton problème est résolu. Décris ce que tu vois. Qu'est-ce qui a changé ? Comment ?"
introspective,Technique du Futur Moi,Se projeter dans 5 ans et décrire comment le problème a été résolu.,15,facile,1,"Tu es en 2031. Ton projet a réussi. Raconte-moi comment tu en es arrivé(e) là."
introspective,Lettre à Soi-Même,Écrire une lettre depuis le futur expliquant le succès du projet.,15,facile,1,"Écris une lettre depuis ton futur moi qui a réussi. Quels choix as-tu faits ? Quels obstacles surmontés ?"
biomimétique,Biomimicry,S'inspirer des solutions de la nature pour résoudre le problème.,30,moyen,1,"Quel organisme vivant résout un problème similaire ? Comment la nature s'y prendrait-elle ?"
biomimétique,Écosystème Mapping,Cartographier l'écosystème naturel le plus proche du problème.,25,moyen,1,"On cartographie l'écosystème de ton projet comme un écosystème naturel : qui sont les prédateurs ? les symbiotes ?"
biomimétique,Évolution Simulée,Appliquer sélection naturelle et mutation aux idées pour les faire évoluer.,30,difficile,1,"On prend 3 idées, on les 'mute' (variation aléatoire), on les 'croise' (hybridation). La plus forte survit."
biomimétique,Symbiose Conceptuelle,Identifier des partenariats mutuellement bénéfiques inspirés du vivant.,20,moyen,1,"Quels partenariats 'gagnant-gagnant' ton projet pourrait-il créer ? Comme le poisson-clown et l'anémone."
quantique,Superposition d'Idées,Explorer simultanément deux idées contradictoires sans trancher.,20,difficile,1,"On prend deux idées contradictoires et on les garde toutes les deux vraies en même temps. Quelle synthèse émerge ?"
quantique,Effet Tunnel,Trouver des raccourcis impossibles en ignorant temporairement les contraintes.,15,moyen,1,"On ignore TOUTES les contraintes pendant 2 minutes. Budget illimité, technologie magique. Qu'est-ce qu'on fait ?"
quantique,Intrication Conceptuelle,Lier deux idées distantes pour qu'elles évoluent ensemble.,20,difficile,1,"On lie deux idées éloignées : si l'une change, l'autre change aussi. Quelles connexions cachées apparaissent ?"
quantique,Observateur Quantique,Changer de perspective d'observation pour modifier la nature du problème.,15,moyen,1,"On regarde le problème depuis 3 points de vue différents : l'utilisateur, le concurrent, la société. Que voit-on ?"
culturelle,Voyage Culturel,Explorer comment le problème serait résolu dans une autre culture.,25,moyen,1,"Comment résoudrait-on ce problème au Japon ? Au Brésil ? En Finlande ? Chaque culture apporte un angle unique."
culturelle,Sagesse Ancestrale,Appliquer des proverbes ou principes anciens au problème moderne.,20,facile,1,"Quel proverbe ou sagesse ancienne pourrait s'appliquer ici ? 'Pierre qui roule...' inspire quelle solution ?"
culturelle,Fusion Interculturelle,Combiner des approches de cultures différentes pour une solution hybride.,25,moyen,1,"On prend la rigueur allemande + la créativité brésilienne + le minimalisme japonais. Quelle fusion en sort ?"
culturelle,Rituel d'Innovation,Créer un rituel ou une cérémonie autour du processus créatif.,20,moyen,1,"On crée un rituel pour cette session : un mot d'ouverture, un geste symbolique. Ça libère la créativité."
